Classe,Marqueur,Type,P(Classe),Freq_Globale,Entropie
Comportementale,manifester,lemma,1.0,35,-0.0
Comportementale,grève,word,1.0,35,-0.0
Comportementale,protester,lemma,1.0,28,-0.0
Comportementale,grève,lemma,1.0,27,-0.0
Comportementale,accusent,word,1.0,23,-0.0
Comportementale,accuse,word,1.0,19,-0.0
Comportementale,protester,word,1.0,18,-0.0
Comportementale,fuient,word,1.0,17,-0.0
Comportementale,manifesté,word,1.0,16,-0.0
Comportementale,manifestent,lemma,1.0,15,-0.0
Comportementale,manifestent,word,1.0,15,-0.0
Comportementale,manifester,word,1.0,15,-0.0
Comportementale,reprocher,lemma,1.0,15,-0.0
Comportementale,fui,word,1.0,13,-0.0
Comportementale,reproche,lemma,1.0,13,-0.0
Comportementale,critiquée,word,1.0,12,-0.0
Comportementale,grèv,lemma,1.0,12,-0.0
Comportementale,réclame,lemma,1.0,12,-0.0
Comportementale,réclame,word,1.0,12,-0.0
Comportementale,pleuré,word,1.0,11,-0.0
Désignée,dangereu,lemma,1.0,36,-0.0
Désignée,content,lemma,1.0,30,-0.0
Désignée,inquiéter,lemma,1.0,22,-0.0
Désignée,craindre,lemma,1.0,20,-0.0
Désignée,fier,lemma,1.0,17,-0.0
Désignée,contents,word,1.0,16,-0.0
Désignée,mécontentement,lemma,1.0,16,-0.0
Désignée,choquante,lemma,1.0,14,-0.0
Désignée,choquantes,word,1.0,14,-0.0
Désignée,inquiets,word,1.0,14,-0.0
Désignée,inquiètent,word,1.0,14,-0.0
Désignée,mécontentement,word,1.0,14,-0.0
Désignée,colèr,lemma,1.0,12,-0.0
Désignée,surpris,word,1.0,11,-0.0
Désignée,inquiétude,lemma,1.0,11,-0.0
Désignée,dangereuses,word,1.0,11,-0.0
Désignée,surprendre,lemma,1.0,10,-0.0
Désignée,tristesse,word,1.0,10,-0.0
Désignée,tristesse,lemma,1.0,10,-0.0
Désignée,étonnante,word,1.0,10,-0.0
Montrée,tg,lemma,1.0,22,-0.0
Montrée,tg,word,1.0,22,-0.0
Montrée,oh,word,1.0,18,-0.0
Montrée,oh,lemma,1.0,18,-0.0
Montrée,merde,word,1.0,16,-0.0
Montrée,pute,lemma,1.0,15,-0.0
Montrée,pute,word,1.0,15,-0.0
Montrée,merde,lemma,1.0,14,-0.0
Montrée,mere,lemma,1.0,13,-0.0
Montrée,mere,word,1.0,11,-0.0
Montrée,ftg,lemma,1.0,11,-0.0
Montrée,ftg,word,1.0,11,-0.0
Montrée,con,lemma,1.0,9,-0.0
Montrée,stop,word,1.0,7,-0.0
Montrée,stop,lemma,1.0,7,-0.0
Montrée,con,word,1.0,7,-0.0
Montrée,julien,word,1.0,7,-0.0
Montrée,julien,lemma,1.0,7,-0.0
Montrée,crasseuse,word,1.0,7,-0.0
Montrée,couille,lemma,1.0,6,-0.0
Suggérée,médaille,lemma,1.0,33,-0.0
Suggérée,médailles,word,1.0,28,-0.0
Suggérée,gagné,word,1.0,24,-0.0
Suggérée,remporté,word,1.0,24,-0.0
Suggérée,champion,lemma,1.0,23,-0.0
Suggérée,record,word,1.0,19,-0.0
Suggérée,olympique,lemma,1.0,18,-0.0
Suggérée,remporte,word,1.0,17,-0.0
Suggérée,réussi,word,1.0,15,-0.0
Suggérée,trois,lemma,1.0,14,-0.0
Suggérée,trois,word,1.0,14,-0.0
Suggérée,découvert,word,1.0,14,-0.0
Suggérée,harceler,lemma,1.0,14,-0.0
Suggérée,olympiques,word,1.0,14,-0.0
Suggérée,meilleur,word,1.0,13,-0.0
Suggérée,puissant,lemma,1.0,13,-0.0
Suggérée,reçu,word,1.0,13,-0.0
Suggérée,récompense,lemma,1.0,12,-0.0
Suggérée,récompense,word,1.0,12,-0.0
Suggérée,huit,word,1.0,12,-0.0
