marker_value,spacy_count,stanza_count,total_count,match_key,lexicon_match_status,exact_lexicon_term,exact_lexicon_category,in_lexique_emotionnel,best_candidate_term,best_candidate_category,best_candidate_confidence,best_candidate_repair_type
peur,0,0,262,peur,exact,peur,peur,True,,,,
dangereux,0,0,93,dangereux,exact,dangereux,peur,True,,,,
colère,0,0,92,colere,exact,colère,colere,True,,,,
surprise,0,0,82,surprise,exact,surprise,surprise,True,,,,
peu,0,0,68,peu,no_match,,,False,,,,
danger,0,0,60,danger,exact,danger,peur,True,,,,
heureux,0,0,60,heureux,exact,heureux,joie,True,,,,
inquiet,0,0,57,inquiet,exact,inquiet,peur,True,,,,
menacer,0,0,56,menacer,exact,menacer,peur,True,,,,
triste,0,0,48,triste,exact,triste,tristesse,True,,,,
choquer,0,0,46,choquer,no_match,,,False,,,,
plaisir,0,0,44,plaisir,exact,plaisir,joie,True,,,,
",",0,0,42,",",no_match,,,False,,,,
drôle,0,0,40,drole,exact,drôle,joie,True,,,,
assez,0,0,38,assez,no_match,,,False,,,,
étonnant,0,0,38,etonnant,exact,étonnant,surprise,True,,,,
beaucoup,0,0,36,beaucoup,no_match,,,False,,,,
dangereu,0,0,36,dangereu,repaired_high,,,False,dangereux,peur,high,truncated_prefix_marker
content,0,0,34,content,exact,content,joie,True,,,,
pays,0,0,32,pays,no_match,,,False,,,,
craignent,0,0,31,craignent,no_match,,,False,,,,
inquiète,0,0,31,inquiete,repaired_high,,,False,inquiéter,peur,high,truncated_prefix_marker
malheur,0,0,30,malheur,exact,malheur,tristesse,True,,,,
menace,0,0,30,menace,exact,menace,peur,True,,,,
mécontentement,0,0,30,mecontentement,exact,mécontentement,colere,True,,,,
heureusement,0,0,28,heureusement,exact,heureusement,joie,True,,,,
joie,0,0,28,joie,exact,joie,joie,True,,,,
souffrir,0,0,28,souffrir,no_match,,,False,,,,
terrible,0,0,26,terrible,exact,terrible,peur,True,,,,
choqué,0,0,25,choque,no_match,,,False,,,,
grand,0,0,25,grand,no_match,,,False,,,,
bonheur,0,0,24,bonheur,exact,bonheur,joie,True,,,,
contre,0,0,24,contre,no_match,,,False,contrit,culpabilite,medium,shared_long_stem_edit_distance
craindre,0,0,24,craindre,exact,craindre,peur,True,,,,
fier,0,0,24,fier,exact,fier,fierte,True,,,,
horrible,0,0,24,horrible,exact,horrible,peur,True,,,,
inquiéter,0,0,24,inquieter,exact,inquiéter,peur,True,,,,
impressionner,0,0,23,impressionner,no_match,,,False,,,,
-,0,0,22,-,no_match,,,False,,,,
',0,0,21,',no_match,,,False,,,,
insulte,0,0,20,insulte,no_match,,,False,,,,
risque,0,0,20,risque,no_match,,,False,,,,
tristesse,0,0,20,tristesse,exact,tristesse,tristesse,True,,,,
impressionnant,0,0,19,impressionnant,no_match,,,False,,,,
surpris,0,0,19,surpris,exact,surpris,surprise,True,,,,
dangereuse,0,0,18,dangereuse,repaired_high,,,False,dangereux,peur,high,shared_long_stem_edit_distance
fou,0,0,18,fou,no_match,,,False,,,,
génial,0,0,18,genial,no_match,,,False,,,,
panique,0,0,18,panique,exact,panique,peur,True,,,,
choquante,0,0,16,choquante,no_match,,,False,,,,
contents,0,0,16,contents,repaired_high,,,False,content,joie,high,inflected_or_extended_marker
dérange,0,0,16,derange,no_match,,,False,,,,
inquiétude,0,0,16,inquietude,exact,inquiétude,peur,True,,,,
marrant,0,0,16,marrant,exact,marrant,joie,True,,,,
vie,0,0,16,vie,no_match,,,False,,,,
voir,0,0,16,voir,no_match,,,False,,,,
vraiment,0,0,16,vraiment,no_match,,,False,,,,
énorme,0,0,16,enorme,no_match,,,False,,,,
insulter,0,0,15,insulter,no_match,,,False,,,,
choquantes,0,0,14,choquantes,no_match,,,False,,,,
